admit_day,recovered,deaths,total
2021-07-04,1,1,2
2021-07-07,3,0,3
2021-07-09,1,0,1
2021-07-10,2,0,2
2021-07-11,2,0,2
2021-07-12,0,1,1
2021-07-13,1,0,1
2021-07-14,1,1,2
2021-07-15,1,0,1
2021-07-17,1,0,1
2021-07-19,1,0,1
2021-07-20,2,0,2
2021-07-21,3,0,3
2021-07-24,3,0,3
2021-07-25,5,0,5
2021-07-26,6,1,7
2021-07-27,3,0,3
2021-07-28,5,1,6
2021-07-29,1,0,1
2021-07-30,2,1,3
2021-07-31,3,2,5
2021-08-01,1,0,1
2021-08-02,9,2,11
2021-08-03,6,2,8
2021-08-04,6,1,7
2021-08-05,3,0,3
2021-08-06,8,4,12
2021-08-07,3,5,8
2021-08-08,5,3,8
2021-08-09,11,0,11
2021-08-10,3,5,8
2021-08-11,11,3,14
2021-08-12,11,1,12
2021-08-13,9,2,11
2021-08-14,10,5,15
2021-08-15,14,3,17
2021-08-16,11,8,19
2021-08-17,23,8,31
2021-08-18,13,4,17
2021-08-19,17,10,27
2021-08-20,5,5,10
2021-08-21,3,2,5
2021-08-22,4,4,8
2021-08-23,12,3,15
2021-08-24,6,3,9
2021-08-25,14,4,18
2021-08-26,20,5,25
2021-08-27,9,2,11
2021-08-28,6,5,11
2021-08-29,9,6,15
2021-08-30,10,4,14
2021-08-31,7,7,14
2021-09-01,7,3,10
2021-09-02,14,5,19
2021-09-03,10,5,15
2021-09-04,7,4,11
2021-09-05,15,3,18
2021-09-06,7,7,14
2021-09-07,16,4,20
2021-09-08,14,5,19
2021-09-09,13,2,15
2021-09-10,13,6,19
2021-09-11,12,3,15
2021-09-12,10,6,16
2021-09-13,9,8,17
2021-09-14,10,5,15
2021-09-15,18,7,25
2021-09-16,11,5,16
2021-09-17,11,5,16
2021-09-18,15,4,19
2021-09-19,8,7,15
2021-09-20,11,3,14
2021-09-21,6,3,9
2021-09-22,9,2,11
2021-09-23,8,3,11
2021-09-24,10,4,14
2021-09-25,9,6,15
2021-09-26,4,9,13
2021-09-27,8,5,13
2021-09-28,2,3,5
2021-09-29,9,6,15
2021-09-30,10,6,16
2021-10-01,10,4,14
2021-10-02,6,3,9
2021-10-03,13,2,15
2021-10-04,10,5,15
2021-10-05,11,5,16
2021-10-06,11,3,14
2021-10-07,10,4,14
2021-10-08,3,4,7
2021-10-09,3,7,10
2021-10-10,6,7,13
2021-10-11,20,6,26
2021-10-12,8,5,13
2021-10-13,17,9,26
2021-10-14,10,5,15
2021-10-15,9,11,20
2021-10-16,5,7,12
2021-10-17,11,8,19
2021-10-18,15,6,21
2021-10-19,16,8,24
2021-10-20,14,6,20
2021-10-21,21,5,26
2021-10-22,19,10,29
2021-10-23,18,6,24
2021-10-24,14,5,19
2021-10-25,19,9,28
2021-10-26,22,7,29
2021-10-27,16,6,22
2021-10-28,17,6,23
2021-10-29,16,9,25
2021-10-30,11,10,21
2021-10-31,9,16,25
2021-11-01,9,12,21
2021-11-02,22,6,28
2021-11-03,8,12,20
2021-11-04,21,9,30
2021-11-05,14,6,20
2021-11-06,9,11,20
2021-11-07,9,8,17
2021-11-08,10,9,19
2021-11-09,20,12,32
2021-11-10,12,12,24
2021-11-11,12,8,20
2021-11-12,15,8,23
2021-11-13,13,4,17
2021-11-14,10,7,17
2021-11-15,19,7,26
2021-11-16,13,6,19
2021-11-17,17,4,21
2021-11-18,14,8,22
2021-11-19,4,13,17
2021-11-20,11,2,13
2021-11-21,4,5,9
2021-11-22,16,11,27
2021-11-23,5,7,12
2021-11-24,11,6,17
2021-11-25,10,2,12
2021-11-26,8,2,10
2021-11-27,11,4,15
2021-11-28,12,6,18
2021-11-29,17,6,23
2021-11-30,15,4,19
2021-12-01,7,4,11
2021-12-02,12,1,13
2021-12-03,9,4,13
2021-12-04,6,3,9
2021-12-05,6,2,8
2021-12-06,8,1,9
2021-12-07,12,5,17
2021-12-08,6,1,7
2021-12-09,9,2,11
2021-12-10,7,8,15
2021-12-11,8,3,11
2021-12-12,6,0,6
2021-12-13,12,5,17
2021-12-14,10,4,14
2021-12-15,7,3,10
2021-12-16,6,2,8
2021-12-17,12,2,14
2021-12-18,5,4,9
2021-12-19,5,4,9
2021-12-20,9,1,10
2021-12-21,4,2,6
2021-12-22,7,4,11
2021-12-23,5,0,5
2021-12-24,3,3,6
2021-12-25,6,1,7
2021-12-26,11,4,15
2021-12-27,7,1,8
2021-12-28,7,4,11
2021-12-29,7,6,13
2021-12-30,11,5,16
2021-12-31,13,3,16
2022-01-01,4,3,7
2022-01-02,14,4,18
2022-01-03,11,8,19
2022-01-04,9,1,10
2022-01-05,10,8,18
2022-01-06,9,6,15
2022-01-07,10,2,12
2022-01-08,7,2,9
2022-01-09,15,6,21
2022-01-10,15,2,17
2022-01-11,15,5,20
2022-01-12,13,1,14
2022-01-13,16,3,19
2022-01-14,8,4,12
2022-01-15,9,4,13
2022-01-16,11,1,12
2022-01-17,11,5,16
2022-01-18,14,1,15
2022-01-19,21,1,22
2022-01-20,19,6,25
2022-01-21,26,4,30
2022-01-22,14,0,14
2022-01-23,10,4,14
2022-01-24,12,4,16
2022-01-25,16,6,22
2022-01-26,15,1,16
2022-01-27,13,7,20
2022-01-28,22,3,25
2022-01-29,11,2,13
2022-01-30,10,8,18
2022-01-31,13,7,20
2022-02-01,24,13,37
2022-02-02,13,9,22
2022-02-03,28,7,35
2022-02-04,15,5,20
2022-02-05,15,6,21
2022-02-06,17,9,26
2022-02-07,27,2,29
2022-02-08,20,6,26
2022-02-09,14,3,17
2022-02-10,19,6,25
2022-02-11,14,6,20
2022-02-12,13,9,22
2022-02-13,9,5,14
2022-02-14,25,2,27
2022-02-15,9,5,14
2022-02-16,12,5,17
2022-02-17,8,5,13
2022-02-18,14,9,23
2022-02-19,6,2,8
2022-02-20,8,5,13
2022-02-21,8,2,10
2022-02-22,10,0,10
2022-02-23,10,3,13
2022-02-24,15,2,17
2022-02-25,6,3,9
2022-02-26,7,5,12
2022-02-27,6,1,7
2022-02-28,7,2,9
2022-03-01,4,3,7
2022-03-02,10,3,13
2022-03-03,5,2,7
2022-03-04,8,1,9
2022-03-05,4,1,5
2022-03-06,4,0,4
2022-03-07,8,3,11
2022-03-08,0,2,2
2022-03-09,3,0,3
2022-03-10,2,0,2
2022-03-11,7,1,8
2022-03-12,5,1,6
2022-03-13,10,0,10
2022-03-14,2,1,3
2022-03-15,10,1,11
2022-03-16,4,2,6
2022-03-17,3,4,7
2022-03-18,6,1,7
2022-03-19,8,1,9
2022-03-20,2,1,3
2022-03-21,4,3,7
2022-03-22,2,4,6
2022-03-23,1,0,1
2022-03-24,5,1,6
2022-03-25,7,1,8
2022-03-26,4,1,5
2022-03-27,1,1,2
2022-03-28,4,1,5
2022-03-29,4,3,7
2022-03-30,2,1,3
2022-03-31,7,1,8
2022-04-01,7,2,9
2022-04-02,3,3,6
2022-04-03,4,0,4
2022-04-04,10,1,11
2022-04-05,9,1,10
2022-04-06,6,3,9
2022-04-07,8,0,8
2022-04-08,8,0,8
2022-04-09,5,1,6
2022-04-10,4,1,5
2022-04-11,5,1,6
2022-04-12,9,0,9
2022-04-13,6,0,6
2022-04-14,7,0,7
2022-04-15,3,0,3
2022-04-16,5,1,6
2022-04-17,2,0,2
2022-04-18,4,0,4
2022-04-19,5,1,6
2022-04-20,2,4,6
2022-04-21,3,0,3
2022-04-22,7,0,7
2022-04-23,2,1,3
2022-04-24,5,3,8
2022-04-25,7,0,7
2022-04-26,8,0,8
2022-04-28,3,1,4
2022-04-29,7,2,9
2022-04-30,3,0,3
2022-05-01,7,0,7
2022-05-02,5,0,5
2022-05-03,4,2,6
2022-05-04,2,2,4
2022-05-05,4,1,5
2022-05-06,2,0,2
2022-05-07,5,0,5
2022-05-08,1,1,2
2022-05-09,1,0,1
